week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
11,WAS,PHI,2024-11-14,8:15PM,,18,26,false
11,GB,CHI,2024-11-17,1:00PM,,20,19,false
11,JAX,DET,2024-11-17,1:00PM,,6,52,false
11,MIN,TEN,2024-11-17,1:00PM,,23,13,false
11,LV,MIA,2024-11-17,1:00PM,,19,34,false
11,LAR,NE,2024-11-17,1:00PM,,28,22,false
11,CLE,NO,2024-11-17,1:00PM,,14,35,false
11,IND,NYJ,2024-11-17,1:00PM,,28,27,false
11,BAL,PIT,2024-11-17,1:00PM,,16,18,false
11,ATL,DEN,2024-11-17,1:00PM,,6,38,false
11,SEA,SF,2024-11-17,1:00PM,,20,17,false
11,KC,BUF,2024-11-17,1:00PM,,21,30,false
11,CIN,LAC,2024-11-17,8:00PM,,27,34,false
11,HOU,DAL,2024-11-18,8:00PM,,34,10,false

