week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
10,CIN,BAL,2024-11-07,8:15PM,,34,35,false
10,NYG,CAR,2024-11-10,9:30AM,6.5,,,
10,NE,CHI,2024-11-10,1:00PM,-6,,,
10,BUF,IND,2024-11-10,1:00PM,4,,,
10,DEN,KC,2024-11-10,1:00PM,-8,,,
10,ATL,NO,2024-11-10,1:00PM,4,,,
10,SF,TB,2024-11-10,1:00PM,6.5,,,
10,PIT,WAS,2024-11-10,1:00PM,-2.5,,,
10,MIN,JAX,2024-11-10,1:00PM,7,,,
10,TEN,LAC,2024-11-10,4:05PM,-7,,,
10,PHI,DAL,2024-11-10,4:25PM,7.5,,,
10,NYJ,ARI,2024-11-10,4:25PM,1.5,,,
10,DET,HOU,2024-11-10,8:20PM,3.5,,,
10,MIA,LAR,2024-11-11,8:15PM,-1,,,
