week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
3,NE,NYJ,2024-09-19,8:15PM,-6.5,,,
3,LAC,PIT,2024-09-22,1:00PM,-1,,,
3,HOU,MIN,2024-09-22,1:00PM,2.5,,,
3,PHI,NO,2024-09-22,1:00PM,-2.5,,,
3,DEN,TB,2024-09-22,1:00PM,-6.5,,,
3,GB,TEN,2024-09-22,1:00PM,-3,,,
3,NYG,CLE,2024-09-22,1:00PM,-6,,,
3,CHI,IND,2024-09-22,1:00PM,-1,,,
3,CAR,LV,2024-09-22,4:05PM,-5.5,,,
3,MIA,SEA,2024-09-22,4:05PM,-4.5,,,
3,BAL,DAL,2024-09-22,4:25PM,1,,,
3,DET,ARI,2024-09-22,4:25PM,3,,,
3,SF,LAR,2024-09-22,4:25PM,7.5,,,
3,KC,ATL,2024-09-22,8:20PM,3.5,,,
3,JAX,BUF,2024-09-23,7:30PM,-5.5,,,
3,WAS,CIN,2024-09-23,8:15PM,-7.5,,,

