week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
2,BUF,MIA,2024-09-12,8:15PM,-2,31,10,false
2,SF,MIN,2024-09-15,1:00PM,5.5,17,23,false
2,LAC,CAR,2024-09-15,1:00PM,6,26,3,false
2,IND,GB,2024-09-15,1:00PM,3,10,16,false
2,NYG,WAS,2024-09-15,1:00PM,-1.5,18,21,false
2,NO,DAL,2024-09-15,1:00PM,-6,44,19,false
2,CLE,JAX,2024-09-15,1:00PM,-3,18,13,false
2,NYJ,TEN,2024-09-15,1:00PM,3.5,24,17,false
2,TB,DET,2024-09-15,1:00PM,-7.5,20,16,false
2,LV,BAL,2024-09-15,1:00PM,-9,26,23,false
2,SEA,NE,2024-09-15,1:00PM,3.5,23,20,false
2,LAR,ARI,2024-09-15,4:05PM,-1,10,41,false
2,CIN,KC,2024-09-15,4:25PM,-5.5,25,26,false
2,PIT,DEN,2024-09-15,4:25PM,2.5,13,6,false
2,CHI,HOU,2024-09-15,8:20PM,-6,13,19,false
2,ATL,PHI,2024-09-16,8:15PM,-6.5,22,21,false
