week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
6,SF,SEA,2024-10-10,8:15PM,3.5,,,
6,JAX,CHI,2024-10-13,9:30AM,-1.5,,,
6,ARI,GB,2024-10-13,1:00PM,-4.5,,,
6,IND,TEN,2024-10-13,1:00PM,-2.5,,,
6,HOU,NE,2024-10-13,1:00PM,6.5,,,
6,TB,NO,2024-10-13,1:00PM,3.5,,,
6,CLE,PHI,2024-10-13,1:00PM,-10,,,
6,WAS,BAL,2024-10-13,1:00PM,-6.5,,,
6,LAC,DEN,2024-10-13,4:05PM,3,,,
6,PIT,LV,2024-10-13,4:05PM,3,,,
6,DET,DAL,2024-10-13,4:25PM,3,,,
6,ATL,CAR,2024-10-13,4:25PM,6,,,
6,CIN,NYG,2024-10-13,8:20PM,3.5,,,
6,BUF,NYJ,2024-10-14,8:15PM,2.5,,,
