week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
8,MIN,LAR,2024-10-24,8:15PM,,20,30,false
8,PHI,CIN,2024-10-27,1:00PM,,37,17,false
8,BAL,CLE,2024-10-27,1:00PM,,24,29,false
8,TEN,DET,2024-10-27,1:00PM,,14,52,false
8,ARI,MIA,2024-10-27,1:00PM,,28,27,false
8,NYJ,NE,2024-10-27,1:00PM,,22,25,false
8,ATL,TB,2024-10-27,1:00PM,,31,26,false
8,GB,JAX,2024-10-27,1:00PM,,30,27,false
8,IND,HOU,2024-10-27,1:00PM,,20,23,false
8,NO,LAC,2024-10-27,1:00PM,,8,26,false
8,BUF,SEA,2024-10-27,1:00PM,,31,10,false
8,CAR,DEN,2024-10-27,1:00PM,,14,28,false
8,KC,LV,2024-10-27,1:00PM,,27,20,false
8,CHI,WAS,2024-10-27,1:00PM,,15,18,false
8,DAL,SF,2024-10-27,1:00PM,,24,30,false
8,NYG,PIT,2024-10-28,8:20PM,,18,26,false
