week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
14,GB,DET,2024-12-05,8:15PM,-3,,,
14,JAX,TEN,2024-12-08,1:00PM,-3.5,,,
14,NYJ,MIA,2024-12-08,1:00PM,-6,,,
14,ATL,MIN,2024-12-08,1:00PM,-6,,,
14,NO,NYG,2024-12-08,1:00PM,4.5,,,
14,CAR,PHI,2024-12-08,1:00PM,-13,,,
14,CLE,PIT,2024-12-08,1:00PM,-6.5,,,
14,LV,TB,2024-12-08,1:00PM,-6.5,,,
14,SEA,ARI,2024-12-08,4:05PM,-2.5,,,
14,BUF,LAR,2024-12-08,4:25PM,4,,,
14,CHI,SF,2024-12-08,4:25PM,-4,,,
14,LAC,KC,2024-12-08,8:20PM,-3.5,,,
14,CIN,DAL,2024-12-09,8:15PM,5,,,
