week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
16,HOU,KC,2024-12-21,1:00PM,-3.5,19,27,false
16,PIT,BAL,2024-12-21,4:00PM,-6.5,17,34,false
16,NYG,ATL,2024-12-22,1:00PM,-9.5,,,
16,DET,CHI,2024-12-22,1:00PM,7,,,
16,CLE,CIN,2024-12-22,1:00PM,-9.5,,,
16,TEN,IND,2024-12-22,1:00PM,-3.5,,,
16,LAR,NYJ,2024-12-22,1:00PM,3,,,
16,PHI,WAS,2024-12-22,1:00PM,4,,,
16,ARI,CAR,2024-12-22,1:00PM,5.5,,,
16,MIN,SEA,2024-12-22,4:05PM,2.5,,,
16,NE,BUF,2024-12-22,4:25PM,-14,,,
16,JAX,LV,2024-12-22,4:25PM,-2.5,,,
16,SF,MIA,2024-12-22,4:25PM,2.5,,,
16,TB,DAL,2024-12-22,8:20PM,4,,,
16,NO,GB,2024-12-23,8:15PM,-14,,,
