week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
13,CHI,DET,2024-11-28,12:30PM,-9.5,,,
13,NYG,DAL,2024-11-28,4:30PM,-3.5,,,
13,MIA,GB,2024-11-28,8:20PM,-3.5,,,
13,LV,KC,2024-11-29,3:00PM,-13,,,
13,LAC,ATL,2024-12-01,1:00PM,1.5,,,
13,PIT,CIN,2024-12-01,1:00PM,-3,,,
13,ARI,MIN,2024-12-01,1:00PM,-3.5,,,
13,IND,NE,2024-12-01,1:00PM,2.5,,,
13,SEA,NYJ,2024-12-01,1:00PM,2,,,
13,TEN,WAS,2024-12-01,1:00PM,-5.5,,,
13,HOU,JAX,2024-12-01,1:00PM,4,,,
13,LAR,NO,2024-12-01,4:05PM,2.5,,,
13,TB,CAR,2024-12-01,4:05PM,5.5,,,
13,PHI,BAL,2024-12-01,4:25PM,-3,,,
13,SF,BUF,2024-12-01,8:20PM,-7,,,
13,CLE,DEN,2024-12-02,8:15PM,-5.5,,,

