week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
1,BAL,KC,2024-09-05,8:20PM,-3,20,27,false
1,GB,PHI,2024-09-06,8:20PM,-2.5,29,34,false
1,TEN,CHI,2024-09-08,1:00PM,-3.5,17,24,false
1,PIT,ATL,2024-09-08,1:00PM,-3.5,18,10,false
1,JAX,MIA,2024-09-08,1:00PM,-3.5,17,20,false
1,NE,CIN,2024-09-08,1:00PM,-8.5,16,10,false
1,HOU,IND,2024-09-08,1:00PM,2.5,29,27,false
1,MIN,NYG,2024-09-08,1:00PM,1.5,28,6,false
1,CAR,NO,2024-09-08,1:00PM,-3.5,10,47,false
1,ARI,BUF,2024-09-08,1:00PM,-6.5,28,34,false
1,LV,LAC,2024-09-08,4:05PM,-3,10,22,false
1,DEN,SEA,2024-09-08,4:05PM,-5.5,20,26,false
1,DAL,CLE,2024-09-08,4:25PM,-2.5,33,17,false
1,WAS,TB,2024-09-08,4:25PM,-3.5,20,37,false
1,LAR,DET,2024-09-08,8:20PM,-4.5,20,26,false
1,NYJ,SF,2024-09-09,8:20PM,-4.5,19,32,false
