week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
6,SF,SEA,2024-10-10,8:15PM,3.5,36,24,false
6,JAX,CHI,2024-10-13,9:30AM,-1.5,16,35,false
6,ARI,GB,2024-10-13,1:00PM,-4.5,13,34,false
6,IND,TEN,2024-10-13,1:00PM,-2.5,20,17,false
6,HOU,NE,2024-10-13,1:00PM,6.5,41,21,false
6,TB,NO,2024-10-13,1:00PM,3.5,51,27,false
6,CLE,PHI,2024-10-13,1:00PM,-10,16,20,false
6,WAS,BAL,2024-10-13,1:00PM,-6.5,23,30,false
6,LAC,DEN,2024-10-13,4:05PM,3,23,16,false
6,PIT,LV,2024-10-13,4:05PM,3,32,13,false
6,DET,DAL,2024-10-13,4:25PM,3,47,9,false
6,ATL,CAR,2024-10-13,4:25PM,6,38,20,false
6,CIN,NYG,2024-10-13,8:20PM,3.5,17,7,false
6,BUF,NYJ,2024-10-14,8:15PM,2.5,23,20,false
