week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
7,DEN,NO,2024-10-17,8:15PM,5.5,,,
7,NE,JAX,2024-10-20,9:30AM,-5.5,,,
7,SEA,ATL,2024-10-20,1:00PM,-3,,,
7,TEN,BUF,2024-10-20,1:00PM,-8.5,,,
7,CIN,CLE,2024-10-20,1:00PM,5.5,,,
7,HOU,GB,2024-10-20,1:00PM,-2.5,,,
7,MIA,IND,2024-10-20,1:00PM,-3,,,
7,DET,MIN,2024-10-20,1:00PM,-1.5,,,
7,PHI,NYG,2024-10-20,1:00PM,3,,,
7,LV,LAR,2024-10-20,4:05PM,-7,,,
7,CAR,WAS,2024-10-20,4:05PM,-9.5,,,
7,KC,SF,2024-10-20,4:25PM,-2,,,
7,NYJ,PIT,2024-10-20,8:20PM,2,,,
7,BAL,TB,2024-10-21,8:15PM,3.5,,,
