week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
15,LAR,SF,2024-12-12,8:15PM,,12,6,false
15,KC,CLE,2024-12-15,1:00PM,4.5,,,
15,CIN,TEN,2024-12-15,1:00PM,5,,,
15,WAS,NO,2024-12-15,1:00PM,8,,,
15,BAL,NYG,2024-12-15,1:00PM,16.5,,,
15,DAL,CAR,2024-12-15,1:00PM,-3,,,
15,NYJ,JAX,2024-12-15,1:00PM,3,,,
15,MIA,HOU,2024-12-15,1:00PM,-2.5,,,
15,IND,DEN,2024-12-15,4:25PM,-4.5,,,
15,BUF,DET,2024-12-15,4:25PM,-2.5,,,
15,PIT,PHI,2024-12-15,4:25PM,-5.5,,,
15,NE,ARI,2024-12-15,4:25PM,-6,,,
15,TB,LAC,2024-12-15,4:25PM,-3,,,
15,GB,SEA,2024-12-15,8:20PM,2.5,,,
15,CHI,MIN,2024-12-16,8:00PM,-7,,,
15,ATL,LV,2024-12-16,8:30PM,4.5,,,
