week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
12,PIT,CLE,2024-11-21,8:20PM,3.5,,,
12,MIN,CHI,2024-11-24,1:00PM,3.5,,,
12,DET,IND,2024-11-24,1:00PM,7,,,
12,NE,MIA,2024-11-24,1:00PM,-7.5,,,
12,TB,NYG,2024-11-24,1:00PM,6,,,
12,DAL,WAS,2024-11-24,1:00PM,-10.5,,,
12,KC,CAR,2024-11-24,1:00PM,10.5,,,
12,TEN,HOU,2024-11-24,1:00PM,-7.5,,,
12,DEN,LV,2024-11-24,4:05PM,6,,,
12,SF,GB,2024-11-24,4:25PM,-3,,,
12,ARI,SEA,2024-11-24,4:25PM,1,,,
12,PHI,LAR,2024-11-24,8:20PM,3,,,
12,BAL,LAC,2024-11-25,8:15PM,3,,,

